positive,negative
full mau beasiswa kerja sekarang aja beasiswanya tanya lulus kamu,selamat selalu ibu you tel sukses amin keren prof memang
berapa telkom aja batas jalur ad ngk baru langsung 12,bandung ibu buat tahun atas kak asrama langsung kapan besar
si apa wkwk rektorat nursaaadah videonya wkwkw sih dapet lu,semoga gayes ms terbaik atas turut tempat kasih terima mendapat
beasiswa kucing aku gak mau wa daftar ka hari rojiun,pak selamat bangga suyanto kangen semoga jadi sya prof wkwk
kucing nih toga kampus ka yak gedung noorabthal masuk blom,keren wisuda langsung kerja lulus telkomuniversity terima terbaik semangat baik
toga tanggal si kok gimana kak aja yaa bang wah,keren sekali kasih terima prof atas sukses telu wah segenap
jadi pak congrats wkwk pengumpulan video deadline toga kan udah,pak mantap salah dauspaus suy baik paling beliau emang juara
gd nih gk raisa masyaallah suyanto mahasiswa sherlywidi kemarin temen,alhamdulillah keren achmadadamid wkwk makan terus lah tetangga doi dibandingin
selamat sebelumnya telkomuniversity mau wisuda uang kapan maaf banyak telkom,ين ال الر selalu pak dulu lucu allah اك الم
toga dikirim nih nyampe gimana beasiswa toganya aja kuliah link,mantap bangga anak banget coba aku kak nur dauspaus masyaallah
